AAPL,Apple Inc,20140526,Apple supplier Hon Hai plans $310 mln GDR sale -paper ,TAIPEI  May 26 Hon Hai Precision  a major supplier of Apple Inc  is set to raise about T$93 billion ($310 million) via selling new shares to foreign investors for its expansion overseas and into Taiwan's developing 4G telecom market  a local paper reported on Monday.,topStory
MSFT,Microsoft Corporation,20140526,UPDATE 1-Sony  Shanghai Oriental Pearl to set up China PlayStation JVs ,* Sony says no plans regarding development of operations  details to come,topStory
MDLZ,Mondelez International Inc,20140526,Pork DNA found in two chocolate products of Cadbury Malaysia: report ,Chocolate maker Cadbury Malaysia  a part of Mondelez International Inc   on Monday recalled two chocolate products after they tested positive for traces of pork DNA  the Nikkei Asian Review website reported.,topStory
MDLZ,Mondelez International Inc,20140526,Pork DNA found in two chocolate products of Cadbury Malaysia -report ,May 26 Chocolate maker Cadbury Malaysia  a part of Mondelez International Inc  on Monday recalled two chocolate products after they tested positive for traces of pork DNA  the Nikkei Asian Review website reported.,normal
VOD,Vodafone Group Plc,20140526,EU mergers and takeovers (May 26) ,BRUSSELS  May 26 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
VOD,Vodafone Group Plc,20140526,EU regulators to decide on Vodafone  Ono deal by July 2 ,BRUSSELS European Union antitrust regulators will decide by July 2 whether to approve British telecoms group Vodafone's  7.2-billion-euro ($9.81 billion) bid for Spanish cable operator Ono  the European Commission said on Monday.,normal
VOD,Vodafone Group Plc,20140526,EU regulators to decide on Vodafone  Ono deal by July 2 ,BRUSSELS  May 26 European Union antitrust regulators will decide by July 2 whether to approve British telecoms group Vodafone's 7.2-billion-euro ($9.81 billion) bid for Spanish cable operator Ono  the European Commission said on Monday.,normal
AZN,Astrazeneca PLC,20140526,How AstraZeneca escaped Pfizer's clutches this time ,LONDON On a sunny day in San Francisco last January  AstraZeneca Chief Executive Pascal Soriot was on his way to the Westin St. Francis hotel on Union Square to give investors some unexpectedly good news.,topStory
AZN,Astrazeneca PLC,20140526,INSIGHT-How AstraZeneca escaped Pfizer's clutches this time ,* Pfizer mis-steps on way to would-be largest-ever drugs deal,normal
AZN,Astrazeneca PLC,20140526,UPDATE 2-Pfizer walks away from $118 bln AstraZeneca takeover fight ,* U.S. drugmaker abandons takeover attempt after rejection,normal
AZN,Astrazeneca PLC,20140526,Pfizer walks away from $118 bln AstraZeneca deal ,LONDON/NEW YORK  May 26 Pfizer said on Monday it had abandoned its current attempt to buy AstraZeneca  for nearly 70 billion pounds ($118 billion) as a deadline approached without a last-minute change of heart by the British drugmaker.,normal
