SHLM,A Schulman Inc,20130702,A. Schulman drops bid for Ferro  shares fall ,Chemical maker A. Schulman Inc  said it dropped its bid for Ferro Corp   about four months after it had offered $563 million for its smaller rival.,topStory
AAPL,Apple Inc,20130702,Apple hires former Yves Saint Laurent CEO for 'special projects' ,SAN FRANCISCO Apple Inc has hired the former chief executive of French luxury group Yves Saint Laurent for "special projects" reporting to Chief Executive Officer Tim Cook.,topStory
AAPL,Apple Inc,20130702,Billionaire Saudi prince branded 'capricious' in UK court ,LONDON A billionaire Saudi prince fighting a lawsuit connected to the sale of a private jet to Libya's Muammar Gaddafi was branded "capricious" and "a debt-dodger" in a London court on Tuesday.,normal
AAPL,Apple Inc,20130702,Apple plans Nevada solar farm in clean energy push for data centers ,Apple Inc said it plans to build a new solar farm with NV Energy Inc for power supply to its new data center in Reno  Nevada  a major step towards its goal of having its data centers run on renewable energy.,normal
AAPL,Apple Inc,20130702,Apple plans Nevada solar farm in clean energy push for data centers ,July 1 Apple Inc said it plans to build a new solar farm with NV Energy Inc for power supply to its new data center in Reno  Nevada  a major step towards its goal of having its data centers run on renewable energy.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130702,S&P cuts Barclays Bank  Credit Suisse  Deutsche Bank ratings ,Standard & Poor's Ratings Services on Tuesday said it lowered its long-term counterparty credit ratings on Barclays Bank PLC  Credit Suisse AG  and Deutsche Bank AG  to A from A-plus.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130702,S&P cuts Barclays Bank  Credit Suisse  Deutsche Bank ratings ,July 2 Standard & Poor's Ratings Services on Tuesday said it lowered its long-term counterparty credit ratings on Barclays Bank PLC  Credit Suisse AG and Deutsche Bank AG to A from A-plus.,normal
DLBL,Barclays PLC,20130702,S&P cuts Barclays Bank  Credit Suisse  Deutsche Bank ratings ,Standard & Poor's Ratings Services on Tuesday said it lowered its long-term counterparty credit ratings on Barclays Bank PLC  Credit Suisse AG  and Deutsche Bank AG  to A from A-plus.,topStory
DLBL,Barclays PLC,20130702,S&P cuts Barclays Bank  Credit Suisse  Deutsche Bank ratings ,July 2 Standard & Poor's Ratings Services on Tuesday said it lowered its long-term counterparty credit ratings on Barclays Bank PLC  Credit Suisse AG and Deutsche Bank AG to A from A-plus.,normal
DTYL,Barclays PLC,20130702,S&P cuts Barclays Bank  Credit Suisse  Deutsche Bank ratings ,Standard & Poor's Ratings Services on Tuesday said it lowered its long-term counterparty credit ratings on Barclays Bank PLC  Credit Suisse AG  and Deutsche Bank AG  to A from A-plus.,topStory
DTYL,Barclays PLC,20130702,S&P cuts Barclays Bank  Credit Suisse  Deutsche Bank ratings ,July 2 Standard & Poor's Ratings Services on Tuesday said it lowered its long-term counterparty credit ratings on Barclays Bank PLC  Credit Suisse AG and Deutsche Bank AG to A from A-plus.,normal
