ADBE,Adobe Systems Incorporated,20160209,Adobe escapes patent damages as Federal Circuit clarifies notice requirement ,Software maker Adobe Systems Inc did not have knowledge of a patent application made by a New York-based software maker and therefore cannot be liable for infringement  the U.S. Court of Appeals for the Federal Circuit ruled on Tuesday.,topStory
AKAM,Akamai Technologies Inc,20160209,Akamai beats revenue estimates; unveils $1 billion share buyback plan ,Online content distributor Akamai Technologies Inc reported better-than-expected quarterly revenue  helped by higher demand for its security services  and announced a $1 billion share buyback program.,topStory
AKAM,Akamai Technologies Inc,20160209,UPDATE 2-Akamai beats revenue estimates; unveils $1 bln share buyback plan ,* Shares rise 16 pct after-hours   (Adds CEO comment  estimates  background),normal
AKAM,Akamai Technologies Inc,20160209,Akamai revenue rises on demand for cloud security services ,Feb 9 Online content distributor Akamai Technologies Inc reported an 8 percent rise in quarterly revenue  helped by higher demand for its content delivery and cloud security services.,normal
GOOG,Alphabet Inc,20160209,Google CEO Pichai receives stock grant worth about $199 million ,Google Chief Executive Sundar Pichai received restricted stock worth about $199 million  according to a regulatory filing by Google parent company Alphabet Inc  .,topStory
GOOG,Alphabet Inc,20160209,UPDATE 1-Google CEO Pichai receives stock grant worth about $199 mln ,Feb 8 Google Chief Executive Sundar Pichai received restricted stock worth about $199 million  according to a regulatory filing by Google parent company Alphabet Inc  .,normal
GOOGL,Alphabet Inc,20160209,Google CEO Pichai receives stock grant worth about $199 million ,Google Chief Executive Sundar Pichai received restricted stock worth about $199 million  according to a regulatory filing by Google parent company Alphabet Inc  .,topStory
GOOGL,Alphabet Inc,20160209,UPDATE 1-Google CEO Pichai receives stock grant worth about $199 mln ,Feb 8 Google Chief Executive Sundar Pichai received restricted stock worth about $199 million  according to a regulatory filing by Google parent company Alphabet Inc  .,normal
AMZN,Amazoncom Inc,20160209,Amazon expands logistics reach in China ,SAN FRANCISCO/SHANGHAI  Feb 9 Amazon.com Inc  is aggressively expanding its logistics operations in China as part of a broader effort to control the rising cost of shipping billions of packages.,topStory
AMZN,Amazoncom Inc,20160209,CORRECTED-Fund managers ditch 2015 winners and move toward safety ,NEW YORK  Feb 8 Fund managers who relied on the so-called FANG stocks - Facebook  Amazon.com  Netflix  and Google - to boost their performance numbers in 2015 are cutting ties as the global economy looks weaker than many expected  leaving last year's outperformers in the midst of a deep selloff.,normal
AMZN,Amazoncom Inc,20160209,CORRECTED-Fund managers ditch 2015 winners and move toward safety ,NEW YORK  Feb 8 Fund managers who relied on the so-called FANG stocks - Facebook  Amazon.com  Netflix  and Google - to boost their performance numbers in 2015 are cutting ties as the global economy looks weaker than many expected  leaving last year's outperformers in the midst of a deep selloff.,normal
