FB,Facebook Inc,20180225,BRIEF-Nokia  Facebook Collaborate For Fixed Wireless Access ,* NOKIA AND FACEBOOK WORK TOGETHER TO EXPAND ECOSYSTEM FOR FIXED WIRELESS ACCESS OVER 60 GHZ Source text for Eikon: Further company coverage: (Helsinki Newsroom),topStory
INTC,Intel Corporation,20180225,Cisco says most network gear needed for 5G is ready now and can cut costs ,BARCELONA  Feb 25 Cisco Systems said on Sunday it aims to disrupt the wireless radio access market led by Huawei  Ericsson and Nokia by backing challengers who make more flexible software versions of traditional mobile gear.,normal
MSFT,Microsoft Corporation,20180225,U.S. Supreme Court weighs Microsoft overseas data fight ,WASHINGTON A major privacy rights fight between Microsoft Corp and the Justice Department reaches the Supreme Court this week  with the justices considering whether U.S. law allows prosecutors to compel technology companies to hand over data stored overseas.,topStory
MSFT,Microsoft Corporation,20180225,U.S. Supreme Court weighs Microsoft overseas data fight ,WASHINGTON  Feb 25 A major privacy rights fight between Microsoft Corp and the Justice Department reaches the Supreme Court this week  with the justices considering whether U.S. law allows prosecutors to compel technology companies to hand over data stored overseas.,normal
VOD,Vodafone Group Plc,20180225,BRIEF-Nokia Expects To Announce A Big Project With Vodafone -CEO ,* NOKIA EXPECTS SOON TO ANNOUNCE A SPECIAL PROJECT WITH VODAFONE -CEO Further company coverage: (Helsinki Newsroom),topStory
VOD,Vodafone Group Plc,20180225,BRIEF-Nokia Says Deploying 5G For Vodafone Italy's Trial In Milan ,* NOKIA DEPLOYING 5G FOR VODAFONE ITALY'S 5G TRIAL IN MILAN Source text for Eikon: Further company coverage: (Helsinki Newsroom),normal
BABA,Alibaba Group Holding Limited,20180225,Alibaba turns heads as it joins Games sponsorship waltz ,PYEONGCHANG  South Korea The Olympic movement's new Chinese global sponsor  e-commerce group Alibaba  came to the Pyeongchang Winter Games promising to revolutionize the experience for spectators  from buying tickets to souvenirs.,topStory
BAC,Bank of America Corporation,20180225,Bank of America takes aim at gun-making clients ,Bank of America Corp on Saturday became the latest financial heavyweight to take aim at gunmakers  saying it would ask clients who make assault rifles how they can help end mass shootings like last week's massacre at a Florida high school.,topStory
BAC,Bank of America Corporation,20180225,Bank of America takes aim at gun-making clients ,Feb 24 Bank of America Corp on Saturday became the latest financial heavyweight to take aim at gunmakers  saying it would ask clients who make assault rifles how they can help end mass shootings like last week's massacre at a Florida high school.,normal
BA,Boeing Company (The),20180225,Boeing to have 51 percent stake in venture with Embraer: paper ,BRASILIA Boeing Co  will have a 51 percent stake in a joint company currently being negotiated with Brazilian aircraft maker Embraer   O Globo newspaper columnist Lauro Jardim reported on Sunday.,topStory
BA,Boeing Company (The),20180225,UPDATE 1-Boeing to have 51 pct stake in venture with Embraer - paper ,BRASILIA  Feb 25 Boeing Co will have a 51 percent stake in a joint company currently being negotiated with Brazilian aircraft maker Embraer  O Globo newspaper columnist Lauro Jardim reported on Sunday.,normal
BA,Boeing Company (The),20180225,Boeing to have 51 pct stake in new venture with Embraer - paper ,BRASILIA  Feb 25 Boeing Co will have a 51 percent stake in a joint company currently being negotiating with Brazilian aircraft maker Embraer  O Globo newspaper columnist Lauro Jardim reported on Sunday.,normal
BRFS,BRF SA,20180225,UPDATE 1-Shareholders in Brazilian meatpacker BRF seek management shake-up ,SAO PAULO  Feb 25 The two largest shareholders in Brazilian food processing company BRF SA called on Sunday for an extraordinary shareholders meeting to replace the firm's entire board of directors  following its worst annual results ever.,topStory
BRFS,BRF SA,20180225,Shareholders in Brazilian meatpacker BRF seek management shake-up ,SAO PAULO  Feb 25 Petros pension fund said on Sunday it was calling on Brazilian food processing company BRF SA to hold an extraordinary shareholders meeting to dismiss the firm's entire board of directors following its worst annual results ever.,normal
ED,Consolidated Edison Inc,20180225,BRIEF-Upper Egypt Flour Mills H1 Consol Profit Rises ,* H1 CONSOL NET PROFIT EGP 112.7 MILLION VERSUS EGP 93.9 MILLION YEAR AGO,topStory
ED,Consolidated Edison Inc,20180225,BRIEF-Al Tawfeek Co For Financial Leasing FY Consol Profit Rises ,Feb 25 AL TAWFEEK COMPANY FOR FINANCIAL LEASING :,normal
