AAON,AAON Inc,20180518,BRIEF-Aaon Announces 23% Increase In Cash Dividend And Stock Buyback Program ,* AAON ANNOUNCES 23% INCREASE IN CASH DIVIDEND AND STOCK BUYBACK PROGRAM,topStory,Sell
ABEO,Abeona Therapeutics Inc,20180518,BRIEF-Abeona Therapeutics Provides Clinical Update On MPS IIIA Gene Therapy Trial ,* ABEONA THERAPEUTICS PROVIDES CLINICAL UPDATE ON MPS IIIA GENE THERAPY TRIAL AT THE 21ST ANNUAL ASGCT MEETING,topStory,Sell
ADMA,ADMA Biologics Inc,20180518,BRIEF-ADMA Biologics Files For Mixed Shelf Offering Of Up To $100 Mln ,* ADMA BIOLOGICS FILES FOR MIXED SHELF OFFERING OF UP TO $100 MILLION - SEC FILING Source http://bit.ly/2IrSugh Further company coverage:,topStory,Sell
AGRX,Agile Therapeutics Inc,20180518,Agile Therapeutics sinks after FDA feedback on contraceptive ,Agile Therapeutics Inc's shares sank 75 percent on Friday after the drug developer said it expects to pursue what could be a prolonged appeal against health regulators' issues over its chief experimental product  a contraceptive patch.,topStory,Unknown
AGRX,Agile Therapeutics Inc,20180518,UPDATE 2-Agile Therapeutics sinks after FDA feedback on contraceptive ,* FDA suggests additional study of contraceptive may be needed,normal,Unknown
AGRX,Agile Therapeutics Inc,20180518,Agile Therapeutics exploring funding options after FDA meeting ,May 18 Agile Therapeutics Inc said on Friday it was looking for ways to fund operations after a meeting with the U.S. health regulator raised the possibility of a new clinical trial to test its stick-on contraceptive patch  Twirla.,normal,Unknown
AGRX,Agile Therapeutics Inc,20180518,BRIEF-Agile Therapeutics Provides Regulatory Update On Twirla® (Ag200-15) For The Prevention Of Pregnancy ,* AGILE THERAPEUTICS  INC. PROVIDES REGULATORY UPDATE ON TWIRLA® (AG200-15) FOR THE PREVENTION OF PREGNANCY,normal,Sell
AKRX,Akorn Inc,20180518,Fresenius CEO defends canceled Akorn deal ,FRANKFURT/BERLIN Fresenius SE's  chief executive has defended the company's decision to pull out of a planned $4.8 billion takeover of Akorn   saying it was the only option after uncovering data integrity breaches at the U.S drugmaker.,topStory,Sell
AKRX,Akorn Inc,20180518,UPDATE 1-Fresenius CEO defends cancelled Akorn deal ,* Expects legal proceedings to conclude in 2019 (Adds details on expenses  comment on provision  analyst),normal,Unknown
AKRX,Akorn Inc,20180518,Fresenius CEO defends cancelled Akorn deal ,FRANKFURT/BERLIN  May 18 Fresenius SE's chief executive has defended the company's decision to pull out of a planned $4.8 billion takeover of Akorn  saying it was the only option after uncovering data integrity breaches at the U.S drugmaker.,normal,Sell
