AMZN,Amazoncom Inc,20121030,All eyes on Amazon as Brazil's Saraiva looks to sell online unit ,* Brazil's top bookseller may sell online business-sources,topStory
AAPL,Apple Inc,20121030,Apple in safe hands with bigger role for Ive: analysts ,The exit of Apple Inc's  longtime mobile software products chief may be a surprise  but a band of able executives led by Tim Cook and a bigger role for design boss Jonathan Ive meant the company was in good hands  analysts said on Tuesday. | Video ,topStory
AAPL,Apple Inc,20121030,Apple software  retail chiefs out in overhaul ,SAN FRANCISCO Apple Inc CEO Tim Cook on Monday pushed out the powerful head of the company's mobile software products group  sources said  in a major management shake-up that also claimed the recently hired chief of the retail stores division.,normal
AAPL,Apple Inc,20121030,UPDATE 4-Apple software  retail chiefs out in overhaul ,SAN FRANCISCO  Oct 29 Apple Inc CEO Tim Cook on Monday pushed out the powerful head of the company's mobile software products group  sources said  in a major management shake-up that also claimed the recently hired chief of the retail stores division.,normal
AAPL,Apple Inc,20121030,PRESS DIGEST - FINANCIAL TIMES - OCT 30 ,EDITOR CHARGED OVER SWISS BANK EXPOSE ATTACKS 'SICK' GREEK SYSTEM,normal
AAWW,Atlas Air Worldwide Holdings,20121030,AIR Worldwide says Sandy insured loss up to $15 billion ,Hurricane Sandy caused anywhere from $7 billion to $15 billion in U.S. onshore insured losses  disaster modeling firm AIR Worldwide said on Tuesday.,topStory
AAWW,Atlas Air Worldwide Holdings,20121030,AIR Worldwide says Sandy insured loss up to $15 bln ,Oct 30 Hurricane Sandy caused anywhere from $7 billion to $15 billion in U.S. onshore insured losses  disaster modeling firm AIR Worldwide said on Tuesday.,normal
ADP,Automatic Data Processing Inc,20121030,Former CDC head favourite to take ADP helm - sources ,PARIS  Oct 30 The former head of French state bank Caisse des Depot et Consignations is the frontrunner to take the helm of Aeroports de Paris  people familiar with the situation told Reuters.,topStory
BIDU,Baidu Inc,20121030,China's Baidu eyes soft fourth quarter as economy bites ,SHANGHAI Baidu Inc  China's largest search engine company  posted its slowest quarterly revenue growth in more than two years and forecast softer-than-expected growth this quarter  hurt by weaker sales as China's economic engine sputters.,topStory
BIDU,Baidu Inc,20121030,REFILE-UPDATE 1-China's Baidu eyes soft fourth quarter as economy bites ,SHANGHAI  Oct 30 Baidu Inc  China's largest search engine company  posted its slowest quarterly revenue growth in more than two years and forecast softer-than-expected growth this quarter  hurt by weaker sales as China's economic engine sputters.,normal
BIDU,Baidu Inc,20121030,UPDATE 1-China's Baidu eyes soft fourth quarter as economy bites ,Oct 29 Baidu Inc  China's largest search engine company  posted its slowest quarterly revenue growth in more than two years and forecast softer-then-expected growth this quarter  hurt by weaker sales as China's economic engine sputters.,normal
