ALDR,Alder BioPharmaceuticals Inc,20150515,BRIEF-Alder Biopharma says its single IV dose of ALD403 shows efficacy in treating migraine ,* Announced six-month follow-up data from phase 2 proof-of-concept clinical trial of ald403,topStory
BA,Boeing Company (The),20150515,Exclusive: Lockheed-Boeing venture lays off 12 executives in major reorganization ,WASHINGTON United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co   on Friday said it was cutting its executive ranks by 30 percent in December through what it called voluntary departures by 12 executives.,topStory
BA,Boeing Company (The),20150515,U.S. Senate defense bill funds Boeing  Lockheed jets ,WASHINGTON  May 14 The U.S. Senate Armed Services Committee on Thursday approved a  2016 defense policy bill that maps out a series of acquisition reforms and adds funding for big weapons programs like Boeing Co's F/A-18 Super Hornets and Lockheed Martin Corp's  F-35 fighter jet.,normal
BXP,Boston Properties Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
BT,BT Group plc,20150515,UPDATE 1-UK telecom regulator wants to open up BT's business fibre network ,* Rivals say will increase competition  innovation   (Adds BT  TalkTalk comments  shares),topStory
BT,BT Group plc,20150515,BRIEF-Ofcom proposes to open BT fibre for business lines ,* Is proposing a new requirement on BT - largest supplier in market  upon whose network many competitors' services rely - to supply 'dark fibre' in areas outside central london,normal
C,Citigroup Inc,20150515,Rally in Roche helps to lift European shares ,LONDON  May 15 European shares advanced on Friday  as calmer conditions in the bond market buoyed the region's stock markets  while drugs group Roche rallied after positive product results.,normal
KO,Coca-Cola Company (The),20150515,BRIEF-Coca-Cola HBC 'encouraged' by first-quarter volume rise ,* We are encouraged by results business has delivered in quarter,topStory
KO,Coca-Cola Company (The),20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
CL,Colgate-Palmolive Company,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
CYH,Community Health Systems Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
ED,Consolidated Edison Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
ED,Consolidated Edison Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
CLR,Continental Resources Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
CCI,Crown Castle International Corporation,20150515,Macquarie-led group pays $1.6 billion for Crown Castle wireless towers ,SYDNEY Macquarie Group Ltd   Australia's top investment bank  said it jointly bought the country's largest owner of mobile telephone towers from a business owned by U.S. wireless infrastructure giant Crown Castle International Corp .,topStory
CCI,Crown Castle International Corporation,20150515,UPDATE 1-Macquarie-led group pays $1.6 bln for Crown Castle wireless towers ,SYDNEY  May 15 Macquarie Group Ltd  Australia's top investment bank  said it jointly bought the country's largest owner of mobile telephone towers from a business owned by U.S. wireless infrastructre giant Crown Castle International Corp.,normal
CCI,Crown Castle International Corporation,20150515,Australia's Macquarie buys wireless towers from U.S.-owned Crown Castle ,SYDNEY  May 15 Macquarie Group Ltd  Australia's top investment bank  said it jointly bought the country's largest owner of mobile telephone towers from a business owned by U.S. wireless infrastructre giant Crown Castle International Corp.,normal
DE,Deere & Company,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
DAL,Delta Air Lines Inc,20150515,Delta Air Lines offers free flights for stranded Amtrak passengers ,Delta Air Lines Inc  said on Friday that Amtrak customers whose tickets were canceled because of Tuesday's train crash in Philadelphia can fly between New York and Boston or Washington for free on Delta's shuttle service for the next four days.,topStory
DAL,Delta Air Lines Inc,20150515,Delta Air Lines offers free flights for stranded Amtrak passengers ,May 15 Delta Air Lines Inc said on Friday that Amtrak customers whose tickets were canceled because of Tuesday's train crash in Philadelphia can fly between New York and Boston or Washington for free on Delta's shuttle service for the next four days.,normal
DB,Deutsche Bank AG,20150515,UPDATE 2-Austria's Bawag mulls bid for Deutsche's Postbank - media ,* Deutsche Bank  Bawag decline to comment on report   (Adds Bawag comment),topStory
DB,Deutsche Bank AG,20150515,Austria's Bawag mulls bid for Deutsche's Postbank - paper ,FRANKFURT  May 15 Austrian lender Bawag PSK  has expressed interest in purchasing Germany's Postbank from its owner Deutsche Bank  a German newspaper reported on Friday  citing unnamed sources.,normal
DDS,Dillard&#39;s Inc,20150515,Fitch Rates Dillard's Senior Unsecured Credit Facility 'BBB-' ,(The following statement was released by the rating agency) NEW YORK  May 15 (Fitch) Fitch Ratings has assigned a 'BBB-' rating to Dillard's  Inc.'s (Dillard's) new $1 billion senior unsecured revolving credit facility due  to mature on May 13  2020.  This replaces its previous $1 billion senior secured  revolving credit facility due July 2018.  Fitch currently rates Dillard's  Long-term Issuer Default Rating (IDR) 'BBB-'. As of Jan. 31  2015  Dillard's had  $815 million of debt outstanding. A f,topStory
DDS,Dillard&#39;s Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
DDS,Dillard&#39;s Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
EMN,Eastman Chemical Company,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
EOG,EOG Resources Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
FDX,FedEx Corporation,20150515,FedEx loses U.S. court motion to dismiss drug-shipping charges ,FedEx Corp lost a motion to dismiss charges by the U.S. Justice Department of conspiracy to distribute controlled substances in connection with the package delivery company's alleged role in transporting illegal prescription drugs.,topStory
FDX,FedEx Corporation,20150515,FedEx loses U.S. court motion to dismiss drug-shipping charges ,FedEx Corp lost a motion to dismiss charges by the U.S. Justice Department of conspiracy to distribute controlled substances in connection with the package delivery company's alleged role in transporting illegal prescription drugs.,normal
FDX,FedEx Corporation,20150515,FedEx loses U.S. court motion to dismiss drug-shipping charges ,May 14 FedEx Corp lost a motion to dismiss charges by the U.S. Justice Department of conspiracy to distribute controlled substances in connection with the package delivery company's alleged role in transporting illegal prescription drugs.,normal
F,Ford Motor Company,20150515,Weak U.S. data point to modest second quarter economic rebound ,WASHINGTON U.S. industrial production unexpectedly fell for a fifth straight month in April due in part to a further decline in oil and gas drilling  suggesting that the economy is growing at only a modest pace in the second quarter.,topStory
GPS,Gap Inc (The),20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
GPS,Gap Inc (The),20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
GEH,General Electric Capital Corporation,20150515,Penske seeks $1 bln sale of Truck-Lite -sources ,May 15 Transportation services company Penske Corp is exploring a sale of Truck-Lite Co LLC  in a deal that could value the maker of lighting  wiring harnesses and mirrors for trucks at close to $1 billion  according to people familiar with the matter.,normal
GEK,General Electric Capital Corporation,20150515,Penske seeks $1 bln sale of Truck-Lite -sources ,May 15 Transportation services company Penske Corp is exploring a sale of Truck-Lite Co LLC  in a deal that could value the maker of lighting  wiring harnesses and mirrors for trucks at close to $1 billion  according to people familiar with the matter.,normal
GE,General Electric Company,20150515,Penske seeks $1 bln sale of Truck-Lite -sources ,May 15 Transportation services company Penske Corp is exploring a sale of Truck-Lite Co LLC  in a deal that could value the maker of lighting  wiring harnesses and mirrors for trucks at close to $1 billion  according to people familiar with the matter.,normal
GEB,General Electric Company,20150515,Penske seeks $1 bln sale of Truck-Lite -sources ,May 15 Transportation services company Penske Corp is exploring a sale of Truck-Lite Co LLC  in a deal that could value the maker of lighting  wiring harnesses and mirrors for trucks at close to $1 billion  according to people familiar with the matter.,normal
GPI,Group 1 Automotive Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
HLF,Herbalife LTD,20150515,A few managers boost Herbalife stakes in first quarter joining Soros  Icahn ,BOSTON A handful of big money managers boosted their stakes in Herbalife Ltd  during the first quarter  joining billionaire investors Carl Icahn and George Soros in their gamble the company will overcome a raft of U.S. federal investigations.,topStory
HLF,Herbalife LTD,20150515,A few managers boost Herbalife stakes in first quarter joining Soros  Icahn ,BOSTON  May 15 A handful of big money managers boosted their stakes in Herbalife Ltd during the first quarter  joining billionaire investors Carl Icahn and George Soros in their gamble the company will overcome a raft of U.S. federal investigations.,normal
HMC,Honda Motor Company Ltd,20150515,Honda Motor to recall 11 381 cars in India to replace air bags ,NEW DELHI Honda Motor Co's  local unit will recall 11 381 vehicles in India to replace potentially faulty air bags  the company said in a statement on Friday  a day after its Japanese parent said it would recall 5 million vehicles for the same reason.,topStory
HMC,Honda Motor Company Ltd,20150515,Honda Motor to recall 11 381 cars in India to replace air bags ,NEW DELHI  May 15 Honda Motor Co's  local unit will recall 11 381 vehicles in India to replace potentially faulty air bags  the company said in a statement on Friday  a day after its Japanese parent said it would recall 5 million vehicles for the same reason.,normal
HMC,Honda Motor Company Ltd,20150515,Honda exec says latest air bag-linked recall may impact Japan sales ,TOKYO Honda Motor Co could see an impact on sales in Japan from its plans to recall some 5 million cars to replace potentially fatal air bags made by Japan's Takata Corp  a top executive said on Friday.,normal
HMC,Honda Motor Company Ltd,20150515,UPDATE 1-Honda exec says latest air bag-linked recall may impact Japan sales ,* Transport minister to ask more automakers to consider recalls   (Adds Honda exec  Japan transport minister comments  details),normal
HMC,Honda Motor Company Ltd,20150515,Honda exec says latest air bag-linked recall may impact Japan sales ,TOKYO  May 15 Honda Motor Co could see an impact on sales in Japan from this week's recall to replace potentially fatal air bags  a top executive said on Friday.,normal
HSBC,HSBC Holdings plc,20150515,HSBC Chairman: Should banks be mortgage lenders? ,LONDON Blue chip banks could provide a bigger stimulus to Europe's flagging economy if they pared back low-return mortgage lending to pump more firepower into small business and consumer credit  the chairman of HSBC  told Reuters.,topStory
HSBC,HSBC Holdings plc,20150515,REUTERS SUMMIT-HSBC Chairman: Should banks be mortgage lenders? ,LONDON  May 15 Blue chip banks could provide a bigger stimulus to Europe's flagging economy if they pared back low-return mortgage lending to pump more firepower into small business and consumer credit  the chairman of HSBC told Reuters.,normal
HSEA,HSBC Holdings plc,20150515,HSBC Chairman: Should banks be mortgage lenders? ,LONDON Blue chip banks could provide a bigger stimulus to Europe's flagging economy if they pared back low-return mortgage lending to pump more firepower into small business and consumer credit  the chairman of HSBC  told Reuters.,topStory
HSEA,HSBC Holdings plc,20150515,REUTERS SUMMIT-HSBC Chairman: Should banks be mortgage lenders? ,LONDON  May 15 Blue chip banks could provide a bigger stimulus to Europe's flagging economy if they pared back low-return mortgage lending to pump more firepower into small business and consumer credit  the chairman of HSBC told Reuters.,normal
HSEB,HSBC Holdings plc,20150515,HSBC Chairman: Should banks be mortgage lenders? ,LONDON Blue chip banks could provide a bigger stimulus to Europe's flagging economy if they pared back low-return mortgage lending to pump more firepower into small business and consumer credit  the chairman of HSBC  told Reuters.,topStory
HSEB,HSBC Holdings plc,20150515,REUTERS SUMMIT-HSBC Chairman: Should banks be mortgage lenders? ,LONDON  May 15 Blue chip banks could provide a bigger stimulus to Europe's flagging economy if they pared back low-return mortgage lending to pump more firepower into small business and consumer credit  the chairman of HSBC told Reuters.,normal
IBM,International Business Machines Corporation,20150515,Buffett's Berkshire adds to favorites IBM  Wells Fargo ,Warren Buffett's Berkshire Hathaway Inc on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co and International Business Machines Corp.,topStory
IBM,International Business Machines Corporation,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
IBM,International Business Machines Corporation,20150515,Buffett's Berkshire adds to some of its biggest stock holdings ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has increased its holdings in some of its biggest stock investments  including Wells Fargo & Co  and International Business Machines Corp.,normal
JPM,J P Morgan Chase & Co,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
JNJ,Johnson & Johnson,20150515,FDA warns on newer class of type 2 diabetes drugs ,The U.S. Food and Drug Administration on Friday warned that a widely used newer class of type 2 diabetes drugs sold by AstraZeneca  Johnson & Johnson and Eli Lilly in partnership with Boehringer Ingleheim may cause dangerously high levels of blood acids that could require hospitalization.,topStory
JNJ,Johnson & Johnson,20150515,UPDATE 2-U.S. FDA warns on newer class of type 2 diabetes drugs ,May 15 The U.S. Food and Drug Administration on Friday warned that a widely used newer class of type 2 diabetes drugs sold by AstraZeneca  Johnson & Johnson and Eli Lilly in partnership with Boehringer Ingleheim may cause dangerously high levels of blood acids that could require hospitalization.,normal
JNPR,Juniper Networks Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
LYG,Lloyds Banking Group Plc,20150515,Exclusive: UK may extend trading plan to sell more Lloyds shares ,LONDON Britain is considering selling more shares in Lloyds Banking Group  by extending a trading facility beyond the current deadline at the end of June  people with knowledge of the matter said.,topStory
LMT,Lockheed Martin Corporation,20150515,Exclusive: Lockheed-Boeing venture lays off 12 executives in major reorganization ,WASHINGTON United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co   on Friday said it was cutting its executive ranks by 30 percent in December through what it called voluntary departures by 12 executives.,topStory
LMT,Lockheed Martin Corporation,20150515,RPT-Missile shield for Gulf to take years  and heavy U.S. commitment ,WASHINGTON  May 15 A U.S.-supplied missile shield to protect Gulf nations against Iranian attacks will take years to complete  requiring a step-up in regional trust  more U.S. sales of sensitive weapons  and intensive U.S. training to avoid mishaps in the volatile region.,normal
LMT,Lockheed Martin Corporation,20150515,Missile shield for Gulf to take years  and heavy U.S. commitment ,WASHINGTON A U.S.-supplied missile shield to protect Gulf nations against Iranian attacks will take years to complete  requiring a step-up in regional trust  more U.S. sales of sensitive weapons  and intensive U.S. training to avoid mishaps in the volatile region.,normal
LMT,Lockheed Martin Corporation,20150515,Missile shield for Gulf to take years  and heavy U.S. commitment ,WASHINGTON  May 15 A U.S.-supplied missile shield to protect Gulf nations against Iranian attacks will take years to complete  requiring a step-up in regional trust  more U.S. sales of sensitive weapons  and intensive U.S. training to avoid mishaps in the volatile region.,normal
LMT,Lockheed Martin Corporation,20150515,German defense ministry decides to buy MEADS from MBDA: newspaper ,BERLIN Germany's defense ministry has decided to buy MEADS  a successor to the Patriot missile defense system developed by European defense group MBDA and U.S. weapons maker Lockheed Martin Corp  German newspaper Sueddeutsche Zeitung reported on Friday.,normal
LMT,Lockheed Martin Corporation,20150515,UPDATE 1-German defence ministry decides to buy MEADS from MBDA -newspaper ,BERLIN  May 15 Germany's defence ministry has decided to buy MEADS  a successor to the Patriot missile defence system developed by European defense group MBDA and U.S. weapons maker Lockheed Martin Corp  German newspaper Sueddeutsche Zeitung reported on Friday.,normal
LMT,Lockheed Martin Corporation,20150515,U.S. Senate defense bill funds Boeing  Lockheed jets ,WASHINGTON  May 14 The U.S. Senate Armed Services Committee on Thursday approved a  2016 defense policy bill that maps out a series of acquisition reforms and adds funding for big weapons programs like Boeing Co's F/A-18 Super Hornets and Lockheed Martin Corp's  F-35 fighter jet.,normal
MRO,Marathon Oil Corporation,20150515,UPDATE 1-Marathon Oil seeks bids for onshore East Africa stakes ,HOUSTON  May 15 Marathon Oil Corp is seeking bids for its interest in four onshore exploration blocks in East Africa as the oil and gas company focuses on drilling in U.S. shale formations  its advisor on the sale said on Friday.,topStory
MRO,Marathon Oil Corporation,20150515,Marathon Oil seeks bids for onshore East Africa stakes ,HOUSTON  May 15 Marathon Oil Corp is seeking bids for its interest in four onshore exploration blocks in East Africa as the oil and gas company focuses on drilling in U.S. shale formations  its advisor on the sale said on Friday.,normal
MMC,Marsh & McLennan Companies Inc,20150515,MOVES- Fitch  Marsh  Centrus ,May 15 The following financial services industry appointments were announced on Friday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
MMC,Marsh & McLennan Companies Inc,20150515,MOVES-Marsh names Porter-Wright as head of UK Specie division ,May 15 Insurance broking and risk management company Marsh  a subsidiary of Marsh & McLennan Co  named Marcus Porter-Wright as head of its UK Specie division.,normal
MCD,McDonald&#39;s Corporation,20150515,Hedge fund activists buy McDonald's  but are they lovin' it? ,Some of the top U.S. hedge fund investors and activists  including Jana Partners LLC took new positions or raised their equity stakes in fast food chain McDonald's Corp  during the first quarter  according to regulatory filings on Friday.,topStory
MCD,McDonald&#39;s Corporation,20150515,Hedge fund activists buy McDonald's  but are they lovin' it? ,May 15 Some of the top U.S. hedge fund investors and activists  including Jana Partners LLC took new positions or raised their equity stakes in fast food chain McDonald's Corp  during the first quarter  according to regulatory filings on Friday.,normal
MCD,McDonald&#39;s Corporation,20150515,HIGHLIGHTS-Hedge funds cut eBay  Leonard Green hot on Shake Shack ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC and Farallon Capital Management  trimmed some of their equity exposure in eBay Inc   but kept high positions in the e-commerce company's shares during the first quarter  according to regulatory filings.,normal
MCD,McDonald&#39;s Corporation,20150515,PRESS DIGEST - China - May 15 ,SHANGHAI  May 15 Chinese newspapers available in Beijing and Shanghai carried the following stories on Friday. Reuters has not checked the stories and does not vouch for their accuracy.,normal
MDU,MDU Resources Group Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MDU,MDU Resources Group Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MRK,Merck & Company Inc,20150515,Indian court bars Glenmark from selling Merck drug copies ,MUMBAI India's Supreme Court has barred Glenmark Pharmaceuticals from making and selling copies of U.S. drugmaker Merck's diabetes drugs Januvia and Janumet  according to a court document released on Friday.,topStory
MRK,Merck & Company Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MRK,Merck & Company Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MRK,Merck & Company Inc,20150515,UPDATE 1-Indian court bars Glenmark from selling Merck drug copies ,MUMBAI  May 15 India's Supreme Court has barred Glenmark Pharmaceuticals from making and selling copies of U.S. drugmaker Merck's diabetes drugs Januvia and Janumet  according to a court document released on Friday.,normal
MRK,Merck & Company Inc,20150515,India's Supreme Court bars Glenmark from selling copies of Merck diabetes drugs-sources ,MUMBAI  May 15 India's Supreme Court has blocked Glenmark Pharmaceuticals Ltd from selling copies of U.S. drugmaker Merck & Co Inc's diabetes drugs Januvia and Janumet  sources with knowledge of the matter said after a court hearing on Friday.,normal
MTU,Mitsubishi UFJ Financial Group Inc,20150515,CORRECTED-Japan's MUFG posts record annual profit  driven by overseas growth ,TOKYO   May 15 Mitsubishi UFJ Financial Group Inc (MUFG)  Japan's largest lender by assets  reported a record annual profit for a second year in a row as its aggressive overseas expansion strategy paid off.,topStory
MTU,Mitsubishi UFJ Financial Group Inc,20150515,TABLE-Mitsubishi UFJ FG -2014/15 parent results ,May 15 (Reuters)-            Mitsubishi UFJ Financial Group  Inc            PARENT-ONLY FINANCIAL HIGHLIGHTS       (in billions of yen unless specified)                    Year ended      Year ended       Year to     NEXT                      Mar 31  2015    Mar 31  2014   Mar 31  2016     YEAR                         LATEST         YEAR-AGO        COMPANY      COMPANY                       RESULTS         RESULTS       FORECAST    H1 FORECAST    Revenues         585.81          258.69          ,normal
MTU,Mitsubishi UFJ Financial Group Inc,20150515,TABLE-Mitsubishi UFJ FG -2014/15 group results ,May 15 (Reuters)-            Mitsubishi UFJ Financial Group  Inc            CONSOLIDATED FINANCIAL HIGHLIGHTS       (in billions of yen unless specified)                    Year ended      Year ended       Year to       NEXT                    Mar 31  2015    Mar 31  2014   Mar 31  2016     YEAR                         LATEST         YEAR-AGO        COMPANY      COMPANY                       RESULTS         RESULTS       FORECAST    H1 FORECAST    Revenues        5.64 trln       5.18 trln       ,normal
MTU,Mitsubishi UFJ Financial Group Inc,20150515,BRIEF-Mitsubishi UFJ to buy back about 100 bln yen own shares - Nikkei ,* to buy back about 100 billion yen ($836.68 million) of own shares - Nikkei  Further company coverage:   ($1 = 119.5200 yen),normal
MFG,Mizuho Financial Group Inc,20150515,UPDATE 1-Mizuho posts better-than-forecast profit  raises dividend ,* Net profit 611.9 bln Y vs 607.3 bln avg estimate of analysts,topStory
MFG,Mizuho Financial Group Inc,20150515,Japan lender Mizuho's annual profit falls but better than expected ,TOKYO  May 15 Mizuho Financial Group Inc  reported on Friday a smaller than forecast 11 percent drop in annual profit  helped by a strong stock market and overseas expansion.,normal
MON,Monsanto Company,20150515,As it woos Syngenta  Monsanto mounts campaign to combat critics ,As seed and chemical maker Monsanto Co.  woos Swiss agrochemicals firm Syngenta   Monsanto also is trying to win over consumers in key international markets  rolling out social media and marketing campaigns.,topStory
MON,Monsanto Company,20150515,As it woos Syngenta  Monsanto mounts campaign to combat critics ,May 15 As seed and chemical maker Monsanto Co.  woos Swiss agrochemicals firm Syngenta  Monsanto also is trying to win over consumers in key international markets  rolling out social media and marketing campaigns.,normal
