AMZN,Amazoncom Inc,20150409,Amazon sues to block alleged fake reviews on its website ,April 9 Amazon.com Inc has sued four websites to stop them from selling fake  positive product reviews.,topStory
AAPL,Apple Inc,20150409,With primetime TV  Apple hopes to hook customers for new Watch ,LOS ANGELES/SAN FRANCISCO As Apple Inc  debuts its smartwatch on Friday  the technology company focused efforts to drum up buzz on U.S. television  using expensive primetime spots to entice customers to the fledgling wearable technology market.,topStory
AAPL,Apple Inc,20150409,With primetime TV  Apple hopes to hook customers for new Watch ,LOS ANGELES/SAN FRANCISCO  April 9 As Apple Inc  debuts its smartwatch on Friday  the technology company focused efforts to drum up buzz on U.S. television  using expensive primetime spots to entice customers to the fledgling wearable technology market.,normal
AAPL,Apple Inc,20150409,Apple expects strong demand in smartwatch consumer debut ,SAN FRANCISCO Apple Inc  expects tremendous interest for its new smartwatch and demand to outstrip supply as consumers get an up-close look on Friday at CEO Tim Cook's first major product.,normal
AAPL,Apple Inc,20150409,UPDATE 2-Apple expects strong demand in smartwatch consumer debut ,SAN FRANCISCO  April 9 Apple Inc  expects tremendous interest for its new smartwatch and demand to outstrip supply as consumers get an up-close look on Friday at CEO Tim Cook's first major product.,normal
AAPL,Apple Inc,20150409,BRIEF-Lightwaverf says Apple to help co implement Homekit ,* Apple have agreed to assist Lightwaverf in implementing correct protocol in Lightwaverf's weblink  Source text for Eikon:  Further company coverage:,normal
BBBY,Bed Bath & Beyond Inc,20150409,US STOCKS-Wall St ends up on energy rebound; early earnings weak ,* Indexes up: Dow 0.3 pct  S&P 0.5 pct  Nasdaq 0.5 pct   (Updates trading volume  adds PriceSmart and Medicines Co news),topStory
BBBY,Bed Bath & Beyond Inc,20150409,US STOCKS-Wall St edges up as energy rebounds; early earnings weak ,* Dow flat  S&P up 0.1 pct  Nasdaq up 0.1 pct   (Updates to afternoon trading),normal
CLLS,Cellectis SA,20150409,BRIEF-Cellectis opens NYC based subsidiary ,* Said on Wednesday it established a new subsidiary  Cellectis Inc.  in New York City,topStory
DBVT,DBV Technologies SA,20150409,BRIEF-DBV Technologies receives FDA breakthrough therapy designation for Viaskin peanut ,* Receives FDA breakthrough therapy designation for Viaskin peanut for the treatment of peanut allergy in children,topStory
DGLY,Digital Ally Inc,20150409,BUZZ-Wearable camera makers: Shares continue to rise ,** Wearable camera makers' shares continue to rise on Thursday after white police officer caught on video shooting a black man in South Carolina on Saturday,topStory
DISH,DISH Network Corporation,20150409,Dish Network's Sling TV adds HBO ,April 9 Dish Network Corp's Sling TV said it has added Time Warner Inc's HBO to its programming lineup.,topStory
EBAY,eBay Inc,20150409,PayPal  eBay to stay interdependent for five years after split ,PayPal  eBay Inc's electronic payments division  said the two firms had agreed that eBay would not reduce the volume of transactions it channels through PayPal  while continuing to get better rates for its merchants for five years after the two split.,topStory
EBAY,eBay Inc,20150409,PayPal  eBay to stay interdependent for 5 years after split ,April 9 PayPal  eBay Inc's electronic payments division  said the two firms had agreed that eBay would not reduce the volume of transactions it channels through PayPal  while continuing to get better rates for its merchants for five years after the two split.,normal
EBAY,eBay Inc,20150409,Investor activism may be hard on corporate creditors -Moody's ,BOSTON  April 9 Tactics that activist investors say will benefit a company's shareholders may also raise the risk for the firm's  creditors  a leading credit rating agency warned on Thursday.,normal
EBAYL,eBay Inc,20150409,PayPal  eBay to stay interdependent for five years after split ,PayPal  eBay Inc's electronic payments division  said the two firms had agreed that eBay would not reduce the volume of transactions it channels through PayPal  while continuing to get better rates for its merchants for five years after the two split.,topStory
EBAYL,eBay Inc,20150409,PayPal  eBay to stay interdependent for 5 years after split ,April 9 PayPal  eBay Inc's electronic payments division  said the two firms had agreed that eBay would not reduce the volume of transactions it channels through PayPal  while continuing to get better rates for its merchants for five years after the two split.,normal
EBAYL,eBay Inc,20150409,Investor activism may be hard on corporate creditors -Moody's ,BOSTON  April 9 Tactics that activist investors say will benefit a company's shareholders may also raise the risk for the firm's  creditors  a leading credit rating agency warned on Thursday.,normal
ERIC,Ericsson,20150409,MEMO - Aktier utan rätt till utdelning ,09-apr-15  TELIASONERA        SEK   3.00   10-apr-15  BEIJER REF         SEK   5.00   10-apr-15  SKANSKA            SEK   6.75   15-apr-15  BILIA A            SEK  12.00   15-apr-15  ERICSSON           SEK   3.40   15-apr-15  MEKONOMEN          SEK   7.00   15-apr-15  NOBIA              SEK   1.75   16-apr-15  GUNNEBO            SEK   1.00   16-apr-15  LUNDBERGS          SEK   5.00   16-apr-15  SAAB               SEK   4.75   16-apr-15  SCA                SEK   5.25   17-apr-15  HOLMEN          ,topStory
ISNS,Image Sensing Systems Inc,20150409,BUZZ-Wearable camera makers: Shares continue to rise ,** Wearable camera makers' shares continue to rise on Thursday after white police officer caught on video shooting a black man in South Carolina on Saturday,topStory
INFN,Infinera Corporation,20150409,Infinera makes recommended SEK 3 bln bid for Sweden's Transmode ,STOCKHOLM  April 9 U.S. network gear maker Infinera said on Thursday it was offering to buy Transmode for about 3 billion Swedish crowns ($345 mln) in cash and shares in a bid to acquire optical network technology and broaden its geographic presence.,topStory
INTC,Intel Corporation,20150409,Intel  Altera end takeover talks due to price disagreement: source ,Discussions on a takeover by Intel Corp of smaller chip maker Altera Corp have ended as the companies were unable to agree on price  a person familiar with the matter said  but Altera shares rose  suggesting it is still a potential target.,topStory
INTC,Intel Corporation,20150409,UPDATE 4-Intel  Altera end takeover talks due to price disagreement -source ,April 9 Discussions on a takeover by Intel Corp  of smaller chip maker Altera Corp have ended as the companies were unable to agree on price  a person familiar with the matter said  but Altera shares rose  suggesting it is still a potential target.,normal
INTC,Intel Corporation,20150409,Deals of the day- Mergers and acquisitions ,April 9 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,normal
INTC,Intel Corporation,20150409,US STOCKS-Wall St little changed with data  earnings eyed ,* Dow flat  S&P up 0.1 pct  Nasdaq up 0.1 pct   (Updates to early afternoon),normal
INTC,Intel Corporation,20150409,US STOCKS-Wall St searches for direction with data  earnings eyed ,* Indexes down: Dow 0.3 pct; S&P 0.2 pct  Nasdaq 0.2 pct   (Adds comment  updates prices),normal
INTC,Intel Corporation,20150409,Takeover talks between Altera  Intel end - CNBC ,April 9 Takeover talks between chipmakers Intel Corp and Altera Corp have broken off  CNBC reported Thursday  citing unnamed sources.,normal
MDLZ,Mondelez International Inc,20150409,Lavazza sees decision on Carte Noire purchase by end-June ,MILAN Italy's Lavazza expects a decision on whether it will buy the Carte Noire coffee brand from Mondelez International  by the end of June  the coffee maker's Vice President Giuseppe Lavazza said on Thursday.,topStory
MDLZ,Mondelez International Inc,20150409,UPDATE 1-Lavazza sees decision on Carte Noire purchase by end-June ,MILAN  April 9 Italy's Lavazza expects a decision on whether it will buy the Carte Noire coffee brand from Mondelez International by the end of June  the coffee maker's Vice President Giuseppe Lavazza said on Thursday.,normal
MDLZ,Mondelez International Inc,20150409,Italy's Lavazza sees decision on Carte Noire buyer by end-June ,MILAN  April 9 Italy's Lavazza expects a decision on who will end up buying Carte Noire coffee brand from Mondelez International by the end of June  the coffee maker's Vice President Giuseppe Lavazza said on Thursday.,normal
PSMT,PriceSmart Inc,20150409,US STOCKS-Wall St ends up on energy rebound; early earnings weak ,* Indexes up: Dow 0.3 pct  S&P 0.5 pct  Nasdaq 0.5 pct   (Updates trading volume  adds PriceSmart and Medicines Co news),topStory
QCOM,QUALCOMM Incorporated,20150409,UPDATE 2-Samsung expects record Galaxy shipments  S6 edge shortage ,* Plans new wearable devices   (Adds comments from executives  analysts  background),topStory
SHPG,Shire plc,20150409,BRIEF-Shire says U.S. FDA grants priority review to lifitegrast NDA ,* FDA is expected to provide a decision on October 25  2015  based on prescription drug user fee act v action date  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom; +44 207 542 1810),topStory
SHPG,Shire plc,20150409,BRIEF-Shire's Alagille syndrome drug does not meet study goal ,* Topline results from first of three placebo-controlled phase 2 studies of shp625 (lum001) in children with alagille syndrome,normal
