ALXN,Alexion Pharmaceuticals Inc,20130715,UPDATE 1-Alexion valuation could choke any Roche bid ,* Roche seeking financing for potential Alexion bid- sources,topStory
AAPL,Apple Inc,20130715,RPT-INSIGHT-Apple controversy lays bare complex Irish tax web ,* More than 40 percent of S&P 500 have subsidiaries in Ireland,topStory
AAPL,Apple Inc,20130715,Apple to probe death of Chinese woman who used iPhone when it was charging ,SINGAPORE Apple Inc is investigating an accident in which a Chinese woman was killed by an electric shock when answering a call on her iPhone 5 while it was charging  the U.S. technology company said on Monday.,normal
AAPL,Apple Inc,20130715,Apple to probe death of Chinese woman who used charging iPhone ,SINGAPORE Apple Inc is investigating an accident in which a Chinese woman was killed by an electric shock when answering a call on her iPhone 5 while it was charging  the U.S. technology company said on Monday.,normal
AAPL,Apple Inc,20130715,Apple to probe death of Chinese woman who used charging iPhone ,SINGAPORE  July 15 Apple Inc is investigating an accident in which a Chinese woman was killed by an electric shock when answering a call on her iPhone 5 while it was charging  the U.S. technology company said on Monday.,normal
ARCC,Ares Capital Corporation,20130715,RPT-Fitch expects to rate Ares Capital Corporation's convertible notes 'BBB' ,July 15 (The following statement was released by the rating agency),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130715,MOVES-BNP Paribas  Standard Chartered  Coutts  Barclays  Rudolf Wolff ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130715,MOVES-Standard Chartered  Benson Elliot  Coutts  Barclays  Barings  Commonfund  Sabrient ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20130715,MOVES-BNP Paribas  Standard Chartered  Coutts  Barclays  Rudolf Wolff ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DLBL,Barclays PLC,20130715,MOVES-Standard Chartered  Benson Elliot  Coutts  Barclays  Barings  Commonfund  Sabrient ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20130715,MOVES-BNP Paribas  Standard Chartered  Coutts  Barclays  Rudolf Wolff ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTYL,Barclays PLC,20130715,MOVES-Standard Chartered  Benson Elliot  Coutts  Barclays  Barings  Commonfund  Sabrient ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
GRFS,Grifols SA,20130715,Update-Moody's Moody's upgrades Grifols S.A. to Ba2  and senior secured /unsecured instruments to Ba1 and B1 respectively. Outlook is stable ,Grifols S.A. (Grifols)   ,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130715,MOVES-BNP Paribas  Standard Chartered  Coutts  Barclays  Rudolf Wolff ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130715,MOVES-Standard Chartered  Benson Elliot  Coutts  Barclays  Barings  Commonfund  Sabrient ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130715,MOVES-BNP Paribas  Standard Chartered  Coutts  Barclays  Rudolf Wolff ,July 15 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
